,ID_x,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,ID_y,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys
21,178603,M. Hummels,27,https://cdn.sofifa.org/48/17/players/178603.png,Germany,https://cdn.sofifa.org/flags/21.png,88,88,FC Bayern Munich,https://cdn.sofifa.org/24/17/teams/21.png,€43M,€170K,2039,62,66,64,58,77,91,64,65,68,55,53,15,6,10,5,6,90,178603,89,68,85,51,85,68,56,85,80,71,90,65,66,92,85,79,60
22,200389,J. Oblak,23,https://cdn.sofifa.org/48/17/players/200389.png,Slovenia,https://cdn.sofifa.org/flags/44.png,88,93,Atlético Madrid,https://cdn.sofifa.org/24/17/teams/240.png,€60.5M,€130K,1290,43,34,67,49,16,55,13,13,12,11,14,84,90,77,87,84,15,200389,19,76,26,12,14,11,11,84,29,22,18,60,41,12,78,55,13
23,194765,A. Griezmann,25,https://cdn.sofifa.org/48/17/players/194765.png,France,https://cdn.sofifa.org/flags/18.png,88,91,Atlético Madrid,https://cdn.sofifa.org/24/17/teams/240.png,€66.5M,€160K,2103,87,69,90,80,86,81,82,84,87,88,75,14,8,14,13,14,80,194765,35,87,75,82,23,71,91,90,79,81,11,86,75,22,61,76,87
24,182493,D. Godín,30,https://cdn.sofifa.org/48/17/players/182493.png,Uruguay,https://cdn.sofifa.org/flags/60.png,88,88,Atlético Madrid,https://cdn.sofifa.org/24/17/teams/240.png,€38M,€130K,1932,62,86,63,58,76,80,55,49,53,42,51,6,8,15,5,15,92,182493,88,89,70,43,87,50,48,85,79,67,89,67,69,86,80,52,47
25,195864,P. Pogba,23,https://cdn.sofifa.org/48/17/players/195864.png,France,https://cdn.sofifa.org/flags/18.png,87,92,Manchester United,https://cdn.sofifa.org/24/17/teams/11.png,€59.5M,€140K,2247,75,75,79,61,89,85,78,84,86,71,82,5,6,2,4,3,73,195864,68,85,88,82,66,76,83,84,86,90,66,79,91,68,91,86,85
26,176676,Marcelo,28,https://cdn.sofifa.org/48/17/players/176676.png,Brazil,https://cdn.sofifa.org/flags/54.png,87,87,Real Madrid CF,https://cdn.sofifa.org/24/17/teams/243.png,€34.5M,€160K,2210,79,84,77,82,88,76,89,80,84,67,67,12,5,5,5,9,70,176676,83,77,76,66,80,59,75,87,82,83,87,80,82,84,77,75,54
27,168542,David Silva,30,https://cdn.sofifa.org/48/17/players/168542.png,Spain,https://cdn.sofifa.org/flags/45.png,87,87,Manchester City,https://cdn.sofifa.org/24/17/teams/10.png,€41.5M,€140K,1977,72,51,92,88,90,92,83,82,84,71,75,1,1,1,1,1,54,168542,43,66,79,73,25,73,81,84,91,71,29,65,79,44,56,92,79
28,179813,E. Cavani,29,https://cdn.sofifa.org/48/17/players/179813.png,Uruguay,https://cdn.sofifa.org/flags/60.png,87,87,Paris Saint-Germain,https://cdn.sofifa.org/24/17/teams/73.png,€44M,€140K,2090,76,82,82,59,80,81,70,75,80,86,74,12,5,13,13,10,88,179813,48,88,50,78,24,84,91,86,75,85,27,79,90,45,74,77,84
29,215914,N. Kanté,25,https://cdn.sofifa.org/48/17/players/215914.png,France,https://cdn.sofifa.org/flags/18.png,87,90,Chelsea,https://cdn.sofifa.org/24/17/teams/5.png,€47M,€120K,2157,85,90,83,90,79,84,67,49,77,65,49,15,12,10,7,10,54,215914,91,79,79,66,75,54,71,87,84,72,85,81,94,89,76,76,56
30,181872,A. Vidal,29,https://cdn.sofifa.org/48/17/players/181872.png,Chile,https://cdn.sofifa.org/flags/55.png,87,87,FC Bayern Munich,https://cdn.sofifa.org/24/17/teams/21.png,€41.5M,€130K,2279,76,91,75,77,83,86,76,76,76,77,68,4,2,4,2,4,81,181872,89,82,82,85,76,81,80,89,84,86,84,74,91,89,77,80,78
31,199556,M. Verratti,23,https://cdn.sofifa.org/48/17/players/199556.png,Italy,https://cdn.sofifa.org/flags/27.png,87,91,Paris Saint-Germain,https://cdn.sofifa.org/24/17/teams/73.png,€58M,€120K,2176,72,89,87,94,88,91,72,73,87,58,64,12,12,15,15,10,55,199556,86,64,89,65,76,64,71,87,90,69,79,64,77,84,56,88,64
32,165153,K. Benzema,28,https://cdn.sofifa.org/48/17/players/165153.png,France,https://cdn.sofifa.org/flags/18.png,86,86,Real Madrid CF,https://cdn.sofifa.org/24/17/teams/243.png,€39.5M,€170K,1954,79,65,77,60,86,82,75,79,82,87,73,13,11,5,5,7,78,165153,22,70,47,77,13,82,87,83,86,83,12,79,74,15,78,85,79
33,198710,J. Rodríguez,24,https://cdn.sofifa.org/48/17/players/198710.png,Colombia,https://cdn.sofifa.org/flags/56.png,86,89,FC Bayern Munich,https://cdn.sofifa.org/24/17/teams/21.png,€50.5M,€150K,2118,77,65,82,75,85,79,88,87,83,82,86,15,15,15,5,14,62,198710,55,54,80,91,25,81,80,84,84,86,30,75,68,42,70,86,91
34,191043,Alex Sandro,25,https://cdn.sofifa.org/48/17/players/191043.png,Brazil,https://cdn.sofifa.org/flags/54.png,86,88,Juventus,https://cdn.sofifa.org/24/17/teams/45.png,€38.5M,€120K,2210,85,82,79,79,81,82,86,78,82,55,59,7,7,9,12,5,76,191043,82,79,71,72,78,60,70,86,81,80,84,89,93,84,81,70,68
35,197445,D. Alaba,24,https://cdn.sofifa.org/48/17/players/197445.png,Austria,https://cdn.sofifa.org/flags/4.png,86,88,FC Bayern Munich,https://cdn.sofifa.org/24/17/teams/21.png,€40.5M,€140K,2279,86,69,79,78,83,79,82,78,79,63,85,5,7,14,15,9,75,197445,85,82,80,83,81,80,77,84,83,83,83,86,87,83,69,78,68
36,162895,Cesc Fàbregas,29,https://cdn.sofifa.org/48/17/players/162895.png,Spain,https://cdn.sofifa.org/flags/45.png,86,86,Chelsea,https://cdn.sofifa.org/24/17/teams/5.png,€36M,€130K,2118,65,45,65,77,86,92,85,77,80,76,81,6,10,8,15,15,74,162895,50,68,90,75,60,80,78,81,91,77,62,62,80,63,64,91,81
37,179844,Diego Costa,27,https://cdn.sofifa.org/48/17/players/179844.png,Spain,https://cdn.sofifa.org/flags/45.png,86,86,Chelsea,https://cdn.sofifa.org/24/17/teams/5.png,€41M,€170K,1993,76,93,58,52,83,84,65,62,79,88,59,11,13,12,8,11,83,179844,40,64,52,73,28,76,88,86,67,84,34,78,85,39,91,74,81
38,197781,Isco,24,https://cdn.sofifa.org/48/17/players/197781.png,Spain,https://cdn.sofifa.org/flags/45.png,86,90,Real Madrid CF,https://cdn.sofifa.org/24/17/teams/243.png,€50.5M,€120K,2105,76,58,83,85,91,76,72,86,90,85,74,10,8,12,15,6,55,197781,70,64,85,86,25,76,83,79,86,72,51,69,73,73,59,84,64
39,189596,T. Müller,26,https://cdn.sofifa.org/48/17/players/189596.png,Germany,https://cdn.sofifa.org/flags/21.png,86,87,FC Bayern Munich,https://cdn.sofifa.org/24/17/teams/21.png,€45.5M,€170K,2081,76,57,76,72,82,83,77,81,75,87,59,6,7,11,14,14,82,189596,58,81,68,80,31,60,93,92,81,77,44,78,90,41,67,81,83
40,156616,F. Ribéry,33,https://cdn.sofifa.org/48/17/players/156616.png,France,https://cdn.sofifa.org/flags/18.png,86,86,FC Bayern Munich,https://cdn.sofifa.org/24/17/teams/21.png,€24M,€100K,1965,85,52,88,91,90,86,81,83,90,76,81,15,6,9,7,10,41,156616,36,34,75,75,13,78,81,86,86,76,26,79,64,25,60,86,80
41,177610,Javi Martinez,27,https://cdn.sofifa.org/48/17/players/177610.png,Spain,https://cdn.sofifa.org/flags/45.png,86,86,FC Bayern Munich,https://cdn.sofifa.org/24/17/teams/21.png,€32M,€150K,1974,49,91,54,58,71,83,60,54,62,53,45,5,12,9,11,8,88,177610,85,84,74,63,85,52,57,84,75,76,87,52,64,87,84,74,61
42,179944,David Luiz,29,https://cdn.sofifa.org/48/17/players/179944.png,Brazil,https://cdn.sofifa.org/flags/54.png,86,86,Chelsea,https://cdn.sofifa.org/24/17/teams/5.png,€29.5M,€130K,2136,72,85,74,56,79,74,68,70,66,56,76,11,12,10,7,14,82,179944,87,80,78,71,80,75,54,81,79,77,84,73,77,85,81,69,67
43,192505,R. Lukaku,23,https://cdn.sofifa.org/48/17/players/192505.png,Belgium,https://cdn.sofifa.org/flags/7.png,86,90,Manchester United,https://cdn.sofifa.org/24/17/teams/11.png,€52.5M,€130K,2004,82,72,62,48,75,84,68,72,77,89,66,8,15,14,7,10,87,192505,27,71,68,75,27,82,87,85,71,88,30,89,80,30,93,73,76
44,193041,K. Navas,29,https://cdn.sofifa.org/48/17/players/193041.png,Costa Rica,https://cdn.sofifa.org/flags/72.png,85,85,Real Madrid CF,https://cdn.sofifa.org/24/17/teams/243.png,€28.5M,€100K,1301,54,32,60,61,19,49,11,11,16,15,15,87,82,72,80,85,11,193041,20,74,37,13,12,25,16,82,30,21,14,53,39,14,75,54,11
45,208418,Y. Carrasco,22,https://cdn.sofifa.org/48/17/players/208418.png,Belgium,https://cdn.sofifa.org/flags/7.png,85,90,Atlético Madrid,https://cdn.sofifa.org/24/17/teams/240.png,€44M,€90K,1992,87,61,91,71,86,66,80,81,91,79,78,9,11,9,10,10,53,208418,18,68,74,75,19,74,82,83,79,84,26,89,74,39,59,74,68
46,186942,I. Gündoğan,25,https://cdn.sofifa.org/48/17/players/186942.png,Germany,https://cdn.sofifa.org/flags/21.png,85,87,Manchester City,https://cdn.sofifa.org/24/17/teams/10.png,€39M,€110K,2162,77,68,85,83,88,86,74,81,87,72,74,11,14,5,5,13,49,186942,79,62,83,74,57,76,79,87,88,77,64,74,73,67,74,87,75
47,201535,R. Varane,23,https://cdn.sofifa.org/48/17/players/201535.png,France,https://cdn.sofifa.org/flags/18.png,85,92,Real Madrid CF,https://cdn.sofifa.org/24/17/teams/243.png,€40.5M,€110K,1881,80,77,58,47,77,66,36,46,57,40,54,11,11,9,5,14,83,201535,82,80,76,53,84,43,44,81,75,52,85,83,70,86,84,56,42
48,164169,Filipe Luís,30,https://cdn.sofifa.org/48/17/players/164169.png,Brazil,https://cdn.sofifa.org/flags/54.png,85,85,Atlético Madrid,https://cdn.sofifa.org/24/17/teams/240.png,€23.5M,€100K,2136,77,81,74,60,81,78,84,74,77,59,75,11,15,9,9,5,68,164169,82,62,77,60,85,65,71,83,78,71,86,83,91,83,74,70,56
49,183898,A. Di María,28,https://cdn.sofifa.org/48/17/players/183898.png,Argentina,https://cdn.sofifa.org/flags/52.png,85,85,Paris Saint-Germain,https://cdn.sofifa.org/24/17/teams/73.png,€33M,€150K,2115,86,73,90,79,85,80,85,78,86,74,72,10,7,11,12,11,53,183898,38,72,79,77,37,73,82,80,83,83,56,86,78,59,60,83,77
50,184432,Azpilicueta,26,https://cdn.sofifa.org/48/17/players/184432.png,Spain,https://cdn.sofifa.org/flags/45.png,85,87,Chelsea,https://cdn.sofifa.org/24/17/teams/5.png,€33M,€120K,2107,79,79,75,73,79,66,78,66,70,46,58,13,9,10,6,5,76,184432,85,76,74,60,87,66,64,86,80,68,87,79,88,88,75,68,54
51,192883,H. Mkhitaryan,27,https://cdn.sofifa.org/48/17/players/192883.png,Armenia,https://cdn.sofifa.org/flags/3.png,85,85,Manchester United,https://cdn.sofifa.org/24/17/teams/11.png,€33M,€130K,2149,88,69,89,85,87,67,79,83,87,77,64,5,11,14,5,7,53,192883,64,72,73,75,49,72,82,83,84,87,55,84,84,53,63,85,81
52,170890,B. Matuidi,29,https://cdn.sofifa.org/48/17/players/170890.png,France,https://cdn.sofifa.org/flags/18.png,85,85,Paris Saint-Germain,https://cdn.sofifa.org/24/17/teams/73.png,€25M,€100K,2176,79,85,77,79,77,85,75,65,73,65,52,8,11,5,10,14,73,170890,85,83,79,66,83,56,68,84,86,74,81,79,94,85,78,75,72
53,173210,C. Marchisio,30,https://cdn.sofifa.org/48/17/players/173210.png,Italy,https://cdn.sofifa.org/flags/27.png,85,85,Juventus,https://cdn.sofifa.org/24/17/teams/45.png,€29.5M,€100K,2214,79,78,81,79,85,84,76,78,84,61,78,4,3,4,2,4,68,173210,80,69,85,82,72,78,80,86,87,82,80,79,81,78,71,84,76
54,139720,V. Kompany,30,https://cdn.sofifa.org/48/17/players/139720.png,Belgium,https://cdn.sofifa.org/flags/7.png,85,85,Manchester City,https://cdn.sofifa.org/24/17/teams/10.png,€24M,€110K,1927,66,87,60,45,68,85,61,61,63,45,52,10,9,5,8,6,84,139720,80,72,66,55,84,63,41,84,72,75,84,68,75,85,88,59,46
55,200145,Casemiro,24,https://cdn.sofifa.org/48/17/players/200145.png,Brazil,https://cdn.sofifa.org/flags/54.png,85,89,Real Madrid CF,https://cdn.sofifa.org/24/17/teams/243.png,€37M,€100K,2138,63,87,66,57,78,76,52,59,69,59,74,13,14,16,12,12,74,200145,86,87,84,77,83,66,66,83,82,86,86,62,85,87,84,76,53
56,137186,A. Barzagli,35,https://cdn.sofifa.org/48/17/players/137186.png,Italy,https://cdn.sofifa.org/flags/27.png,85,85,Juventus,https://cdn.sofifa.org/24/17/teams/45.png,€5.5M,€70K,1770,69,70,55,65,65,82,40,50,64,21,31,4,2,4,2,4,72,137186,92,85,65,39,90,60,28,80,65,54,88,77,55,90,87,62,35
57,180206,M. Pjanić,26,https://cdn.sofifa.org/48/17/players/180206.png,Bosnia Herzegovina,https://cdn.sofifa.org/flags/8.png,85,86,Juventus,https://cdn.sofifa.org/24/17/teams/45.png,€37.5M,€130K,2175,75,68,79,79,89,84,80,86,86,61,91,7,7,13,7,8,60,180206,74,61,85,82,62,79,70,84,89,78,66,75,79,70,65,88,72
58,218667,Bernardo Silva,21,https://cdn.sofifa.org/48/17/players/218667.png,Portugal,https://cdn.sofifa.org/flags/38.png,84,91,Manchester City,https://cdn.sofifa.org/24/17/teams/10.png,€40M,€90K,2012,85,58,88,86,89,84,79,79,91,76,63,9,10,14,12,9,51,218667,49,53,78,64,46,64,77,84,84,72,35,78,80,44,54,85,66
59,189505,Pedro,28,https://cdn.sofifa.org/48/17/players/189505.png,Spain,https://cdn.sofifa.org/flags/45.png,84,84,Chelsea,https://cdn.sofifa.org/24/17/teams/5.png,€28.5M,€140K,1987,86,56,84,82,87,72,78,81,84,81,57,5,11,12,15,9,55,189505,49,67,70,76,30,66,84,84,83,71,31,80,80,32,56,75,70
60,146530,Dani Alves,33,https://cdn.sofifa.org/48/17/players/146530.png,Brazil,https://cdn.sofifa.org/flags/54.png,84,84,Paris Saint-Germain,https://cdn.sofifa.org/24/17/teams/73.png,€12.5M,€90K,2207,79,78,85,87,86,82,86,80,84,55,74,5,11,9,6,7,72,146530,81,79,77,78,73,70,74,79,83,86,83,84,76,79,55,78,68
61,177509,M. Benatia,29,https://cdn.sofifa.org/48/17/players/177509.png,Morocco,https://cdn.sofifa.org/flags/129.png,84,84,Juventus,https://cdn.sofifa.org/24/17/teams/45.png,€22M,€100K,1776,73,82,61,55,65,78,45,34,64,45,27,7,4,8,7,11,80,177509,84,85,65,24,86,41,38,78,65,59,84,77,69,86,89,47,31
62,164468,G. Cahill,30,https://cdn.sofifa.org/48/17/players/164468.png,England,https://cdn.sofifa.org/flags/14.png,84,84,Chelsea,https://cdn.sofifa.org/24/17/teams/5.png,€21M,€100K,1846,69,82,62,51,63,77,28,48,58,56,27,5,12,9,5,12,86,164468,83,82,61,66,84,53,45,85,65,63,84,66,68,85,80,56,47
63,179846,S. Khedira,29,https://cdn.sofifa.org/48/17/players/179846.png,Germany,https://cdn.sofifa.org/flags/21.png,84,84,Juventus,https://cdn.sofifa.org/24/17/teams/45.png,€26.5M,€100K,2162,61,82,59,55,81,84,72,68,78,69,68,11,9,5,15,8,76,179846,86,69,81,78,76,69,80,86,85,82,78,69,79,82,89,80,76
64,204963,Carvajal,24,https://cdn.sofifa.org/48/17/players/204963.png,Spain,https://cdn.sofifa.org/flags/45.png,84,87,Real Madrid CF,https://cdn.sofifa.org/24/17/teams/243.png,€30.5M,€100K,2040,78,81,82,79,83,69,83,72,76,41,47,13,13,15,9,15,65,204963,82,76,71,36,85,45,61,81,81,64,86,85,84,85,75,57,34
65,178088,Juan Mata,28,https://cdn.sofifa.org/48/17/players/178088.png,Spain,https://cdn.sofifa.org/flags/45.png,84,84,Manchester United,https://cdn.sofifa.org/24/17/teams/11.png,€28.5M,€140K,1984,73,52,85,89,87,85,84,84,82,79,84,9,10,14,5,8,59,178088,39,72,77,70,25,81,83,84,86,75,21,63,75,28,43,87,71
66,180403,Willian,27,https://cdn.sofifa.org/48/17/players/180403.png,Brazil,https://cdn.sofifa.org/flags/54.png,84,84,Chelsea,https://cdn.sofifa.org/24/17/teams/5.png,€29.5M,€140K,2054,92,44,88,82,86,74,77,82,87,77,85,14,12,13,7,13,29,180403,55,46,77,81,43,60,80,83,82,71,51,86,86,62,61,83,59
67,202166,J. Draxler,22,https://cdn.sofifa.org/48/17/players/202166.png,Germany,https://cdn.sofifa.org/flags/21.png,84,87,Paris Saint-Germain,https://cdn.sofifa.org/24/17/teams/73.png,€37M,€100K,2022,77,48,83,75,87,78,83,78,88,78,75,11,13,5,13,8,65,202166,36,76,77,81,25,63,79,83,84,86,26,80,69,35,67,84,84
68,201153,Morata,23,https://cdn.sofifa.org/48/17/players/201153.png,Spain,https://cdn.sofifa.org/flags/45.png,84,88,Chelsea,https://cdn.sofifa.org/24/17/teams/5.png,€39M,€110K,1863,80,54,62,56,84,78,73,76,83,82,44,4,5,4,4,5,79,201153,24,79,51,78,14,72,83,80,78,80,20,86,70,14,82,76,81
69,193747,Koke,24,https://cdn.sofifa.org/48/17/players/193747.png,Spain,https://cdn.sofifa.org/flags/45.png,84,88,Atlético Madrid,https://cdn.sofifa.org/24/17/teams/240.png,€37M,€110K,2132,74,71,77,78,86,75,84,85,80,71,76,14,12,5,10,13,61,193747,64,61,85,81,63,59,80,84,86,84,51,69,82,66,75,89,56
70,225508,E. Bailly,22,https://cdn.sofifa.org/48/17/players/225508.png,Ivory Coast,https://cdn.sofifa.org/flags/108.png,84,89,Manchester United,https://cdn.sofifa.org/24/17/teams/11.png,€33.5M,€90K,1916,79,87,76,65,68,76,51,46,63,33,43,14,14,10,9,8,81,225508,85,84,56,48,82,46,47,78,72,55,85,83,82,85,85,54,42
71,191740,Ander Herrera,26,https://cdn.sofifa.org/48/17/players/191740.png,Spain,https://cdn.sofifa.org/flags/45.png,84,85,Manchester United,https://cdn.sofifa.org/24/17/teams/11.png,€32.5M,€120K,2219,79,86,85,84,86,84,74,80,81,71,65,9,12,15,9,8,60,191740,86,63,80,72,80,79,78,85,86,72,76,70,87,78,70,84,69
72,181783,M. Mandžukić,30,https://cdn.sofifa.org/48/17/players/181783.png,Croatia,https://cdn.sofifa.org/flags/10.png,83,83,Juventus,https://cdn.sofifa.org/24/17/teams/45.png,€22M,€100K,2110,69,88,69,55,77,80,72,64,74,84,49,10,8,5,8,15,90,181783,66,85,65,58,56,76,89,86,75,78,64,77,87,64,87,74,86
73,20289,Y. Touré,33,https://cdn.sofifa.org/48/17/players/20289.png,Ivory Coast,https://cdn.sofifa.org/flags/108.png,83,83,Manchester City,https://cdn.sofifa.org/24/17/teams/10.png,€14.5M,€80K,2184,69,78,60,60,82,83,67,82,78,82,85,13,14,6,12,8,72,20289,60,65,81,80,68,89,80,82,84,86,74,72,74,77,91,85,68
