,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
32,86.0,47.0,59.0,86.0,78.0,9014,86.0,58.0,47.0,78.0,59.0,86.0,85.0,82.0,87.0,63.0,RW RM ,86.0,58.0,47.0,78.0,59.0,86.0,85.0,82.0,87.0,63.0,82.0
33,78.0,81.0,84.0,76.0,81.0,215914,78.0,82.0,81.0,81.0,84.0,76.0,78.0,72.0,76.0,83.0,CM CDM ,78.0,82.0,81.0,81.0,84.0,76.0,78.0,72.0,76.0,83.0,72.0
34,82.0,77.0,84.0,77.0,85.0,199556,82.0,79.0,77.0,85.0,84.0,77.0,80.0,69.0,78.0,80.0,CDM CM ,82.0,79.0,77.0,85.0,84.0,77.0,80.0,69.0,78.0,80.0,69.0
35,84.0,74.0,79.0,83.0,84.0,195864,84.0,75.0,74.0,84.0,79.0,83.0,83.0,81.0,82.0,77.0,CDM CM ,84.0,75.0,74.0,84.0,79.0,83.0,83.0,81.0,82.0,77.0,81.0
36,85.0,53.0,68.0,82.0,83.0,190460,85.0,64.0,53.0,83.0,68.0,82.0,84.0,77.0,83.0,69.0,LM RM CAM ,85.0,64.0,53.0,83.0,68.0,82.0,84.0,77.0,83.0,69.0,77.0
37,81.0,84.0,85.0,81.0,83.0,181872,81.0,83.0,84.0,83.0,85.0,81.0,80.0,81.0,80.0,83.0,CM CDM ,81.0,83.0,84.0,83.0,85.0,81.0,80.0,81.0,80.0,83.0,81.0
38,80.0,58.0,62.0,82.0,74.0,179813,80.0,61.0,58.0,74.0,62.0,82.0,79.0,84.0,80.0,64.0,ST ,80.0,61.0,58.0,74.0,62.0,82.0,79.0,84.0,80.0,64.0,84.0
39,79.0,82.0,82.0,79.0,80.0,176676,79.0,84.0,82.0,80.0,82.0,79.0,81.0,77.0,80.0,84.0,LB ,79.0,84.0,82.0,80.0,82.0,79.0,81.0,77.0,80.0,84.0,77.0
40,85.0,71.0,77.0,84.0,85.0,171877,85.0,75.0,71.0,85.0,77.0,84.0,83.0,81.0,83.0,77.0,CM ,85.0,75.0,71.0,85.0,77.0,84.0,83.0,81.0,83.0,77.0,81.0
41,83.0,64.0,74.0,82.0,84.0,168651,83.0,69.0,64.0,84.0,74.0,82.0,82.0,78.0,81.0,72.0,CM ,83.0,69.0,64.0,84.0,74.0,82.0,82.0,78.0,81.0,72.0,78.0
42,84.0,50.0,64.0,81.0,81.0,168542,84.0,59.0,50.0,81.0,64.0,81.0,82.0,75.0,82.0,65.0,LM CM CAM ,84.0,59.0,50.0,81.0,64.0,81.0,82.0,75.0,82.0,65.0,75.0
43,,,,,,162835,,,,,,,,,,,GK ,,,,,,,,,,,
44,68.0,84.0,81.0,68.0,74.0,152729,68.0,78.0,84.0,74.0,81.0,68.0,68.0,69.0,66.0,76.0,CB ,68.0,78.0,84.0,74.0,81.0,68.0,68.0,69.0,66.0,76.0,69.0
45,87.0,63.0,74.0,83.0,84.0,41,87.0,69.0,63.0,84.0,74.0,83.0,84.0,76.0,84.0,72.0,LM CM ,87.0,69.0,63.0,84.0,74.0,83.0,84.0,76.0,84.0,72.0,76.0
46,79.0,57.0,62.0,82.0,74.0,202126,79.0,60.0,57.0,74.0,62.0,82.0,78.0,84.0,79.0,62.0,ST ,79.0,60.0,57.0,74.0,62.0,82.0,78.0,84.0,79.0,62.0,84.0
47,83.0,53.0,64.0,83.0,79.0,198710,83.0,61.0,53.0,79.0,64.0,83.0,82.0,80.0,83.0,65.0,RM CM CAM ,83.0,61.0,53.0,79.0,64.0,83.0,82.0,80.0,83.0,65.0,80.0
48,85.0,61.0,71.0,84.0,84.0,197781,85.0,67.0,61.0,84.0,71.0,84.0,82.0,79.0,83.0,70.0,LM RM CAM CM ,85.0,67.0,61.0,84.0,71.0,84.0,82.0,79.0,83.0,70.0,79.0
49,80.0,80.0,82.0,79.0,81.0,197445,80.0,83.0,80.0,81.0,82.0,79.0,81.0,77.0,80.0,84.0,CM CB LB ,80.0,83.0,80.0,81.0,82.0,79.0,81.0,77.0,80.0,84.0,77.0
50,77.0,53.0,57.0,80.0,71.0,192505,77.0,56.0,53.0,71.0,57.0,80.0,77.0,84.0,78.0,58.0,ST ,77.0,56.0,53.0,71.0,57.0,80.0,77.0,84.0,78.0,58.0,84.0
51,77.0,81.0,81.0,76.0,78.0,191043,77.0,84.0,81.0,78.0,81.0,76.0,80.0,75.0,78.0,84.0,LM LB ,77.0,84.0,81.0,78.0,81.0,76.0,80.0,75.0,78.0,84.0,75.0
52,81.0,58.0,65.0,83.0,78.0,189596,81.0,66.0,58.0,78.0,65.0,83.0,81.0,83.0,81.0,68.0,ST CAM RW CF ,81.0,66.0,58.0,78.0,65.0,83.0,81.0,83.0,81.0,68.0,83.0
53,75.0,80.0,83.0,72.0,81.0,189511,75.0,76.0,80.0,81.0,83.0,72.0,73.0,68.0,70.0,77.0,CM CDM ,75.0,76.0,80.0,81.0,83.0,72.0,73.0,68.0,70.0,77.0,68.0
54,85.0,49.0,61.0,83.0,79.0,189242,85.0,60.0,49.0,79.0,61.0,83.0,83.0,77.0,84.0,64.0,CAM LW ,85.0,60.0,49.0,79.0,61.0,83.0,83.0,77.0,84.0,64.0,77.0
55,86.0,52.0,64.0,86.0,80.0,188350,86.0,63.0,52.0,80.0,64.0,86.0,84.0,82.0,86.0,67.0,LW ST LM ,86.0,63.0,52.0,80.0,64.0,86.0,84.0,82.0,86.0,67.0,82.0
56,67.0,84.0,81.0,67.0,74.0,184087,67.0,79.0,84.0,74.0,81.0,67.0,67.0,67.0,65.0,77.0,CB ,67.0,79.0,84.0,74.0,81.0,67.0,67.0,67.0,65.0,77.0,67.0
57,71.0,83.0,81.0,69.0,75.0,179944,71.0,79.0,83.0,75.0,81.0,69.0,70.0,69.0,69.0,78.0,CB ,71.0,79.0,83.0,75.0,81.0,69.0,70.0,69.0,69.0,78.0,69.0
58,76.0,57.0,60.0,80.0,71.0,179844,76.0,58.0,57.0,71.0,60.0,80.0,76.0,83.0,77.0,60.0,ST ,76.0,58.0,57.0,71.0,60.0,80.0,76.0,83.0,77.0,60.0,83.0
59,82.0,81.0,84.0,82.0,84.0,178518,82.0,83.0,81.0,84.0,84.0,82.0,82.0,80.0,81.0,84.0,CAM CM ,82.0,83.0,81.0,84.0,84.0,82.0,82.0,80.0,81.0,84.0,80.0
60,67.0,84.0,80.0,66.0,72.0,177610,67.0,76.0,84.0,72.0,80.0,66.0,65.0,67.0,63.0,74.0,CDM CB ,67.0,76.0,84.0,72.0,80.0,66.0,65.0,67.0,63.0,74.0,67.0
61,85.0,47.0,60.0,85.0,78.0,175943,85.0,60.0,47.0,78.0,60.0,85.0,84.0,78.0,86.0,65.0,ST LW CF ,85.0,60.0,47.0,78.0,60.0,85.0,84.0,78.0,86.0,65.0,78.0
62,59.0,84.0,76.0,61.0,63.0,172879,59.0,77.0,84.0,63.0,76.0,61.0,61.0,64.0,59.0,73.0,CB ,59.0,77.0,84.0,63.0,76.0,61.0,61.0,64.0,59.0,73.0,64.0
63,63.0,84.0,79.0,62.0,67.0,168609,63.0,77.0,84.0,67.0,79.0,62.0,63.0,63.0,61.0,75.0,CB ,63.0,77.0,84.0,67.0,79.0,62.0,63.0,63.0,61.0,75.0,63.0
64,82.0,44.0,52.0,84.0,72.0,165153,82.0,51.0,44.0,72.0,52.0,84.0,80.0,83.0,83.0,56.0,ST ,82.0,51.0,44.0,72.0,52.0,84.0,80.0,83.0,83.0,56.0,83.0
65,82.0,64.0,72.0,80.0,83.0,162895,82.0,70.0,64.0,83.0,72.0,80.0,81.0,77.0,80.0,72.0,CAM CDM CM ,82.0,70.0,64.0,83.0,72.0,80.0,81.0,77.0,80.0,72.0,77.0
66,85.0,42.0,57.0,83.0,78.0,156616,85.0,55.0,42.0,78.0,57.0,83.0,83.0,77.0,84.0,61.0,LW LM ,85.0,55.0,42.0,78.0,57.0,83.0,83.0,77.0,84.0,61.0,77.0
67,59.0,83.0,76.0,59.0,63.0,120533,59.0,75.0,83.0,63.0,76.0,59.0,59.0,61.0,58.0,72.0,CB ,59.0,75.0,83.0,63.0,76.0,59.0,59.0,61.0,58.0,72.0,61.0
68,,,,,,48940,,,,,,,,,,,GK ,,,,,,,,,,,
69,82.0,45.0,56.0,83.0,74.0,208418,82.0,56.0,45.0,74.0,56.0,83.0,83.0,79.0,84.0,60.0,RM LM ,82.0,56.0,45.0,74.0,56.0,83.0,83.0,79.0,84.0,60.0,79.0
70,64.0,83.0,79.0,62.0,69.0,201535,64.0,77.0,83.0,69.0,79.0,62.0,63.0,62.0,61.0,73.0,CB ,64.0,77.0,83.0,69.0,79.0,62.0,63.0,62.0,61.0,73.0,62.0
71,74.0,83.0,84.0,72.0,79.0,200145,74.0,78.0,83.0,79.0,84.0,72.0,71.0,72.0,69.0,77.0,CDM ,74.0,78.0,83.0,79.0,84.0,72.0,71.0,72.0,69.0,77.0,72.0
72,85.0,39.0,54.0,83.0,77.0,198219,85.0,55.0,39.0,77.0,54.0,83.0,84.0,76.0,85.0,60.0,LW ,85.0,55.0,39.0,77.0,54.0,83.0,84.0,76.0,85.0,60.0,76.0
73,81.0,54.0,60.0,83.0,74.0,193301,81.0,59.0,54.0,74.0,60.0,83.0,80.0,83.0,82.0,62.0,ST ,81.0,59.0,54.0,74.0,60.0,83.0,80.0,83.0,82.0,62.0,83.0
74,,,,,,193041,,,,,,,,,,,GK ,,,,,,,,,,,
75,84.0,62.0,70.0,83.0,80.0,192883,84.0,70.0,62.0,80.0,70.0,83.0,83.0,79.0,84.0,73.0,LM RW RM ,84.0,70.0,62.0,80.0,70.0,83.0,83.0,79.0,84.0,73.0,79.0
76,,,,,,192593,,,,,,,,,,,GK ,,,,,,,,,,,
77,,,,,,192563,,,,,,,,,,,GK ,,,,,,,,,,,
78,,,,,,192448,,,,,,,,,,,GK ,,,,,,,,,,,
79,47.0,83.0,74.0,48.0,55.0,190547,47.0,72.0,83.0,55.0,74.0,48.0,50.0,52.0,45.0,68.0,CB ,47.0,72.0,83.0,55.0,74.0,48.0,50.0,52.0,45.0,68.0,52.0
80,78.0,78.0,80.0,78.0,78.0,189332,78.0,83.0,78.0,78.0,80.0,78.0,81.0,75.0,80.0,84.0,LB ,78.0,83.0,78.0,78.0,80.0,78.0,81.0,75.0,80.0,84.0,75.0
81,84.0,69.0,77.0,81.0,83.0,186942,84.0,73.0,69.0,83.0,77.0,81.0,81.0,76.0,81.0,75.0,CDM CM ,84.0,73.0,69.0,83.0,77.0,81.0,81.0,76.0,81.0,75.0,76.0
82,72.0,83.0,82.0,70.0,76.0,184432,72.0,84.0,83.0,76.0,82.0,70.0,74.0,68.0,71.0,83.0,LB RB CB ,72.0,84.0,83.0,76.0,82.0,70.0,74.0,68.0,71.0,83.0,68.0
83,83.0,58.0,66.0,82.0,78.0,183898,83.0,66.0,58.0,78.0,66.0,82.0,83.0,77.0,83.0,70.0,LW RW ,83.0,66.0,58.0,78.0,66.0,82.0,83.0,77.0,83.0,70.0,77.0
84,83.0,70.0,78.0,80.0,83.0,180206,83.0,75.0,70.0,83.0,78.0,80.0,81.0,74.0,80.0,77.0,CDM CM ,83.0,75.0,70.0,83.0,78.0,80.0,81.0,74.0,80.0,77.0,74.0
85,82.0,77.0,81.0,80.0,83.0,173210,82.0,79.0,77.0,83.0,81.0,80.0,81.0,76.0,80.0,80.0,CDM CM ,82.0,79.0,77.0,83.0,81.0,80.0,81.0,76.0,80.0,80.0,76.0
86,70.0,83.0,81.0,70.0,74.0,172871,70.0,80.0,83.0,74.0,81.0,70.0,70.0,70.0,69.0,78.0,CB ,70.0,80.0,83.0,74.0,81.0,70.0,70.0,70.0,69.0,78.0,70.0
87,76.0,82.0,83.0,75.0,79.0,170890,76.0,82.0,82.0,79.0,83.0,75.0,77.0,73.0,75.0,82.0,CM CDM ,76.0,82.0,82.0,79.0,83.0,75.0,77.0,73.0,75.0,82.0,73.0
88,,,,,,167628,,,,,,,,,,,GK ,,,,,,,,,,,
89,75.0,80.0,81.0,74.0,77.0,164169,75.0,83.0,80.0,77.0,81.0,74.0,78.0,72.0,75.0,83.0,LB ,75.0,83.0,80.0,77.0,81.0,74.0,78.0,72.0,75.0,83.0,72.0
90,62.0,82.0,77.0,62.0,67.0,139720,62.0,76.0,82.0,67.0,77.0,62.0,63.0,63.0,61.0,74.0,CB ,62.0,76.0,82.0,67.0,77.0,62.0,63.0,63.0,61.0,74.0,63.0
91,58.0,83.0,76.0,55.0,63.0,137186,58.0,75.0,83.0,63.0,76.0,55.0,57.0,53.0,55.0,71.0,CB ,58.0,75.0,83.0,63.0,76.0,55.0,57.0,53.0,55.0,71.0,53.0
92,61.0,83.0,76.0,61.0,65.0,225508,61.0,77.0,83.0,65.0,76.0,61.0,63.0,60.0,61.0,75.0,CB ,61.0,77.0,83.0,65.0,76.0,61.0,63.0,60.0,61.0,75.0,60.0
93,82.0,50.0,62.0,81.0,78.0,220834,82.0,60.0,50.0,78.0,62.0,81.0,81.0,77.0,81.0,65.0,LW LM RM CAM ,82.0,60.0,50.0,78.0,62.0,81.0,81.0,77.0,81.0,65.0,77.0
94,83.0,53.0,66.0,82.0,79.0,218667,83.0,63.0,53.0,79.0,66.0,82.0,83.0,75.0,83.0,68.0,RM ,83.0,63.0,53.0,79.0,66.0,82.0,83.0,75.0,83.0,68.0,75.0
95,62.0,83.0,79.0,62.0,69.0,212218,62.0,78.0,83.0,69.0,79.0,62.0,64.0,64.0,61.0,75.0,CB ,62.0,78.0,83.0,69.0,79.0,62.0,64.0,64.0,61.0,75.0,64.0
96,83.0,69.0,75.0,83.0,81.0,211117,83.0,72.0,69.0,81.0,75.0,83.0,81.0,81.0,81.0,73.0,LM CF CAM ,83.0,72.0,69.0,81.0,75.0,83.0,81.0,81.0,81.0,73.0,81.0
97,81.0,51.0,60.0,82.0,74.0,208722,81.0,60.0,51.0,74.0,60.0,82.0,82.0,79.0,83.0,63.0,LW RW ,81.0,60.0,51.0,74.0,60.0,82.0,82.0,79.0,83.0,63.0,79.0
98,70.0,81.0,80.0,69.0,73.0,204963,70.0,83.0,81.0,73.0,80.0,69.0,75.0,65.0,72.0,83.0,RB ,70.0,83.0,81.0,73.0,80.0,69.0,75.0,65.0,72.0,83.0,65.0
99,83.0,49.0,59.0,83.0,77.0,202166,83.0,57.0,49.0,77.0,59.0,83.0,82.0,80.0,83.0,62.0,LM CAM LW ,83.0,57.0,49.0,77.0,59.0,83.0,82.0,80.0,83.0,62.0,80.0
100,75.0,46.0,50.0,79.0,67.0,201399,75.0,49.0,46.0,67.0,50.0,79.0,73.0,82.0,75.0,51.0,ST ,75.0,49.0,46.0,67.0,50.0,79.0,73.0,82.0,75.0,51.0,82.0
101,79.0,45.0,51.0,81.0,70.0,201153,79.0,51.0,45.0,70.0,51.0,81.0,78.0,82.0,80.0,56.0,ST ,79.0,51.0,45.0,70.0,51.0,81.0,78.0,82.0,80.0,56.0,82.0
102,48.0,83.0,73.0,49.0,55.0,201024,48.0,74.0,83.0,55.0,73.0,49.0,52.0,51.0,48.0,70.0,CB ,48.0,74.0,83.0,55.0,73.0,49.0,52.0,51.0,48.0,70.0,51.0
103,,,,,,200316,,,,,,,,,,,GK ,,,,,,,,,,,
104,82.0,67.0,75.0,80.0,82.0,193747,82.0,71.0,67.0,82.0,75.0,80.0,81.0,77.0,80.0,74.0,LM RM CM ,82.0,71.0,67.0,82.0,75.0,80.0,81.0,77.0,80.0,74.0,77.0
105,49.0,83.0,74.0,48.0,56.0,192774,49.0,76.0,83.0,56.0,74.0,48.0,53.0,49.0,49.0,72.0,CB ,49.0,76.0,83.0,56.0,74.0,48.0,53.0,49.0,49.0,72.0,49.0
106,64.0,82.0,78.0,63.0,68.0,192227,64.0,76.0,82.0,68.0,78.0,63.0,63.0,65.0,62.0,74.0,CB ,64.0,76.0,82.0,68.0,78.0,63.0,63.0,65.0,62.0,74.0,65.0
107,81.0,78.0,83.0,79.0,83.0,191740,81.0,80.0,78.0,83.0,83.0,79.0,80.0,75.0,79.0,81.0,CDM CM ,81.0,80.0,78.0,83.0,83.0,79.0,80.0,75.0,79.0,81.0,75.0
108,80.0,79.0,83.0,78.0,83.0,189712,80.0,78.0,79.0,83.0,83.0,78.0,78.0,76.0,77.0,79.0,CDM CM ,80.0,78.0,79.0,83.0,83.0,78.0,78.0,76.0,77.0,79.0,76.0
109,82.0,50.0,61.0,82.0,77.0,189505,82.0,60.0,50.0,77.0,61.0,82.0,82.0,77.0,83.0,65.0,LW RW ,82.0,60.0,50.0,77.0,61.0,82.0,82.0,77.0,83.0,65.0,77.0
110,,,,,,189117,,,,,,,,,,,GK ,,,,,,,,,,,
111,76.0,78.0,82.0,74.0,82.0,184120,76.0,74.0,78.0,82.0,82.0,74.0,72.0,71.0,71.0,75.0,CDM CM ,76.0,74.0,78.0,82.0,82.0,74.0,72.0,71.0,71.0,75.0,71.0
112,80.0,56.0,62.0,81.0,76.0,181458,80.0,64.0,56.0,76.0,62.0,81.0,82.0,81.0,82.0,67.0,CAM LM ,80.0,64.0,56.0,76.0,62.0,81.0,82.0,81.0,82.0,67.0,81.0
113,77.0,49.0,57.0,79.0,73.0,180930,77.0,52.0,49.0,73.0,57.0,79.0,75.0,82.0,76.0,55.0,ST ,77.0,52.0,49.0,73.0,57.0,79.0,75.0,82.0,76.0,55.0,82.0
114,83.0,55.0,68.0,82.0,80.0,180403,83.0,68.0,55.0,80.0,68.0,82.0,83.0,74.0,83.0,72.0,CAM RM RW ,83.0,68.0,55.0,80.0,68.0,82.0,83.0,74.0,83.0,72.0,74.0
115,79.0,81.0,82.0,78.0,82.0,179846,79.0,78.0,81.0,82.0,82.0,78.0,77.0,77.0,76.0,79.0,CDM CM ,79.0,78.0,81.0,82.0,82.0,78.0,77.0,77.0,76.0,79.0,77.0
116,,,,,,179783,,,,,,,,,,,GK ,,,,,,,,,,,
117,,,,,,178750,,,,,,,,,,,GK ,,,,,,,,,,,
118,82.0,45.0,59.0,81.0,78.0,178088,82.0,55.0,45.0,78.0,59.0,81.0,81.0,76.0,81.0,61.0,RM CAM ,82.0,55.0,45.0,78.0,59.0,81.0,81.0,76.0,81.0,61.0,76.0
119,58.0,82.0,75.0,58.0,62.0,177509,58.0,75.0,82.0,62.0,75.0,58.0,60.0,60.0,58.0,72.0,CB ,58.0,75.0,82.0,62.0,75.0,58.0,60.0,60.0,58.0,72.0,60.0
120,84.0,51.0,63.0,82.0,79.0,177388,84.0,60.0,51.0,79.0,63.0,82.0,83.0,78.0,83.0,64.0,CAM LW ,84.0,60.0,51.0,79.0,63.0,82.0,83.0,78.0,83.0,64.0,78.0
121,77.0,54.0,57.0,79.0,71.0,167397,77.0,54.0,54.0,71.0,57.0,79.0,74.0,82.0,76.0,56.0,ST ,77.0,54.0,54.0,71.0,57.0,79.0,74.0,82.0,76.0,56.0,82.0
122,62.0,82.0,78.0,60.0,67.0,165229,62.0,78.0,82.0,67.0,78.0,60.0,63.0,58.0,60.0,76.0,CB ,62.0,78.0,82.0,67.0,78.0,60.0,63.0,58.0,60.0,76.0,58.0
123,61.0,82.0,75.0,61.0,65.0,164468,61.0,73.0,82.0,65.0,75.0,61.0,58.0,64.0,58.0,69.0,CB ,61.0,73.0,82.0,65.0,75.0,61.0,58.0,64.0,58.0,69.0,64.0
124,79.0,76.0,79.0,78.0,80.0,146530,79.0,81.0,76.0,80.0,79.0,78.0,80.0,74.0,79.0,81.0,RB ,79.0,81.0,76.0,80.0,79.0,78.0,80.0,74.0,79.0,81.0,74.0
125,84.0,45.0,59.0,83.0,77.0,143076,84.0,59.0,45.0,77.0,59.0,83.0,84.0,76.0,85.0,65.0,ST LW CF ,84.0,59.0,45.0,77.0,59.0,83.0,84.0,76.0,85.0,65.0,76.0
126,76.0,60.0,58.0,80.0,69.0,106231,76.0,58.0,60.0,69.0,58.0,80.0,73.0,83.0,75.0,58.0,ST ,76.0,58.0,60.0,69.0,58.0,80.0,73.0,83.0,75.0,58.0,83.0
127,81.0,58.0,64.0,82.0,75.0,231747,81.0,64.0,58.0,75.0,64.0,82.0,81.0,82.0,82.0,67.0,ST ,81.0,64.0,58.0,75.0,64.0,82.0,81.0,82.0,82.0,67.0,82.0
128,82.0,45.0,57.0,82.0,74.0,231443,82.0,58.0,45.0,74.0,57.0,82.0,82.0,76.0,83.0,63.0,CAM LW RW ,82.0,58.0,45.0,74.0,57.0,82.0,82.0,76.0,83.0,63.0,76.0
129,82.0,65.0,76.0,80.0,82.0,220971,82.0,71.0,65.0,82.0,76.0,80.0,81.0,74.0,80.0,75.0,CAM CDM CM ,82.0,71.0,65.0,82.0,76.0,80.0,81.0,74.0,80.0,75.0,74.0
130,51.0,82.0,73.0,51.0,57.0,216460,51.0,75.0,82.0,57.0,73.0,51.0,53.0,56.0,51.0,71.0,CB ,51.0,75.0,82.0,57.0,73.0,51.0,53.0,56.0,51.0,71.0,56.0
131,,,,,,215316,,,,,,,,,,,GK ,,,,,,,,,,,
